,0
0,600111.XSHG
1,300122.XSHE
2,603019.XSHG
3,600547.XSHG
4,002271.XSHE
5,601888.XSHG
6,603288.XSHG
7,601601.XSHG
8,601995.XSHG
9,300896.XSHE
10,688271.XSHG
11,600926.XSHG
12,000069.XSHE
13,600436.XSHG
14,601668.XSHG
15,600941.XSHG
16,601066.XSHG
17,601901.XSHG
18,600426.XSHG
19,601006.XSHG
20,688036.XSHG
21,002709.XSHE
22,603290.XSHG
23,603501.XSHG
24,605499.XSHG
25,603392.XSHG
26,688256.XSHG
27,000733.XSHE
28,600989.XSHG
29,300015.XSHE
30,600115.XSHG
31,600132.XSHG
32,601799.XSHG
33,300033.XSHE
34,000800.XSHE
35,688223.XSHG
36,600196.XSHG
37,600606.XSHG
38,600999.XSHG
39,002142.XSHE
40,601117.XSHG
41,300413.XSHE
42,300760.XSHE
43,601877.XSHG
44,300979.XSHE
45,601868.XSHG
46,601398.XSHG
47,601360.XSHG
48,002475.XSHE
49,002001.XSHE
50,000338.XSHE
51,002812.XSHE
52,002352.XSHE
53,001289.XSHE
54,601818.XSHG
55,688065.XSHG
56,002180.XSHE
57,600886.XSHG
58,601878.XSHG
59,601111.XSHG
60,002916.XSHE
61,601377.XSHG
62,601766.XSHG
63,000063.XSHE
64,002841.XSHE
65,603195.XSHG
66,600372.XSHG
67,000999.XSHE
68,002466.XSHE
69,601857.XSHG
70,601989.XSHG
71,002202.XSHE
72,600346.XSHG
73,600023.XSHG
74,000651.XSHE
75,688981.XSHG
76,000625.XSHE
77,002007.XSHE
78,601390.XSHG
79,002555.XSHE
80,603259.XSHG
81,002594.XSHE
82,600233.XSHG
83,601225.XSHG
84,600893.XSHG
85,600600.XSHG
86,002601.XSHE
87,300059.XSHE
88,300450.XSHE
89,600188.XSHG
90,601808.XSHG
91,000301.XSHE
92,300957.XSHE
93,000333.XSHE
94,603260.XSHG
95,000895.XSHE
96,000877.XSHE
97,600570.XSHG
98,601328.XSHG
99,002920.XSHE
100,002241.XSHE
101,000792.XSHE
102,600660.XSHG
103,688041.XSHG
104,300347.XSHE
105,002938.XSHE
106,603369.XSHG
107,600845.XSHG
108,601059.XSHG
109,600089.XSHG
110,600009.XSHG
111,300628.XSHE
112,600515.XSHG
113,000002.XSHE
114,600219.XSHG
115,601169.XSHG
116,601633.XSHG
117,601898.XSHG
118,603486.XSHG
119,601100.XSHG
120,000157.XSHE
121,002460.XSHE
122,601899.XSHG
123,002049.XSHE
124,600406.XSHG
125,603806.XSHG
126,300014.XSHE
127,000568.XSHE
128,601872.XSHG
129,603833.XSHG
130,603899.XSHG
131,000725.XSHE
132,002821.XSHE
133,600887.XSHG
134,600011.XSHG
135,300759.XSHE
136,600919.XSHG
137,688303.XSHG
138,002415.XSHE
139,600938.XSHG
140,688561.XSHG
141,300408.XSHE
142,600019.XSHG
143,002311.XSHE
144,300274.XSHE
145,600754.XSHG
146,002252.XSHE
147,600332.XSHG
148,600276.XSHG
149,603659.XSHG
150,000977.XSHE
151,000708.XSHE
152,603993.XSHG
153,001979.XSHE
154,601607.XSHG
155,000100.XSHE
156,600176.XSHG
157,600918.XSHG
158,600905.XSHG
159,002603.XSHE
160,002129.XSHE
161,601865.XSHG
162,600489.XSHG
163,300498.XSHE
164,000876.XSHE
165,600031.XSHG
166,600036.XSHG
167,600085.XSHG
168,601236.XSHG
169,600309.XSHG
170,600809.XSHG
171,002371.XSHE
172,601881.XSHG
173,300454.XSHE
174,600585.XSHG
175,002179.XSHE
176,002236.XSHE
177,601838.XSHG
178,000661.XSHE
179,600803.XSHG
180,603986.XSHG
181,600900.XSHG
182,688111.XSHG
183,300763.XSHE
184,600875.XSHG
185,000001.XSHE
186,300308.XSHE
187,600690.XSHG
188,002714.XSHE
189,300316.XSHE
190,600039.XSHG
191,600104.XSHG
192,601155.XSHG
193,601699.XSHG
194,603799.XSHG
195,300661.XSHE
196,300782.XSHE
197,000596.XSHE
198,600029.XSHG
199,600760.XSHG
200,601618.XSHG
201,601166.XSHG
202,601816.XSHG
203,300124.XSHE
204,600015.XSHG
205,000963.XSHE
206,601138.XSHG
207,688187.XSHG
208,300142.XSHE
209,600584.XSHG
210,601336.XSHG
211,600061.XSHG
212,601800.XSHG
213,601728.XSHG
214,600183.XSHG
215,601600.XSHG
216,300433.XSHE
217,000938.XSHE
218,600025.XSHG
219,000858.XSHE
220,600438.XSHG
221,601628.XSHG
222,601939.XSHG
223,601229.XSHG
224,000776.XSHE
225,600050.XSHG
226,601688.XSHG
227,601698.XSHG
228,600150.XSHG
229,300919.XSHE
230,000786.XSHE
231,002050.XSHE
232,601998.XSHG
233,601318.XSHG
234,688008.XSHG
235,600837.XSHG
236,600460.XSHG
237,601988.XSHG
238,601088.XSHG
239,002027.XSHE
240,000983.XSHE
241,300751.XSHE
242,000408.XSHE
243,600362.XSHG
244,600795.XSHG
245,600745.XSHG
246,688396.XSHG
247,601186.XSHG
248,600030.XSHG
249,000617.XSHE
250,600018.XSHG
251,600741.XSHG
252,600958.XSHG
253,002736.XSHE
254,688126.XSHG
255,688599.XSHG
256,000166.XSHE
257,600732.XSHG
258,600016.XSHG
259,300750.XSHE
260,605117.XSHG
261,003816.XSHE
262,002648.XSHE
263,000768.XSHE
264,002304.XSHE
265,600048.XSHG
266,600028.XSHG
267,600674.XSHG
268,601288.XSHG
269,601319.XSHG
270,601669.XSHG
271,601658.XSHG
272,300999.XSHE
273,601985.XSHG
274,600519.XSHG
275,600010.XSHG
276,601009.XSHG
277,300496.XSHE
278,601211.XSHG
279,300223.XSHE
280,601916.XSHG
281,002074.XSHE
282,688012.XSHG
283,601012.XSHG
284,301269.XSHE
285,601238.XSHG
286,600000.XSHG
287,000425.XSHE
288,600588.XSHG
289,601689.XSHG
290,688363.XSHG
291,601021.XSHG
292,601615.XSHG
293,601788.XSHG
294,601919.XSHG
295,002459.XSHE
296,002493.XSHE
297,002410.XSHE
298,002230.XSHE
299,000538.XSHE
